stationNumber,stationName,latitude,longitude,obs_in,in_curated_16,mrms_in,diff_in
MA-BA-10,East Sandwich 2.3 SE,41.72196667,-70.41791667,0.27,False,0.205,-0.065
MA-BA-102,Sandwich 4.1 SSE,41.6994823788808,-70.4817065765541,0.25,False,0.224,-0.026
MA-BA-106,Centerville 0.4 WNW,41.6589,-70.3572,0.55,False,0.521,-0.029
MA-BA-108,Osterville 1.6 NNW,41.65007,-70.39401,0.61,False,0.424,-0.186
MA-BA-11,East Falmouth 1.4 ESE,41.5737809,-70.532064,0.18,False,0.374,0.194
MA-BA-111,Bourne 0.6 ESE,41.7296,-70.6038,0.09,False,0.079,-0.011
MA-BA-113,Falmouth 3.2 WSW,41.53048,-70.66651,0.2,True,0.256,0.056
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,0.47,True,0.118,-0.352
MA-BA-117,Falmouth 4.8 N,41.6145087,-70.6233059,0.25,False,0.264,0.014
MA-BA-122,Falmouth 3.0 NNE,41.584272,-70.581877,0.22,False,0.307,0.087
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,0.23,True,0.276,0.046
MA-BA-2,Falmouth 3.1 NNW,41.5871,-70.6321,0.29,True,0.248,-0.042
MA-BA-3,Falmouth 3.0 E,41.553061,-70.550358,0.45,False,0.572,0.122
MA-BA-45,Sandwich 0.9 NNE,41.7701,-70.4941,0.09,False,0.15,0.06
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,1.23,False,0.466,-0.764
MA-BA-57,Falmouth 5.7 N,41.628365,-70.623234,0.24,True,0.232,-0.008
MA-BA-59,Barnstable 3.6 W,41.6943,-70.3696,0.72,False,0.334,-0.386
MA-BA-78,Mashpee 4.6 S,41.58406,-70.48887,0.45,False,0.658,0.208
MA-BA-83,Mashpee 2.5 W,41.6436,-70.531,0.81,False,0.272,-0.538
MA-BA-99,Mashpee 4.7 SSW,41.5834,-70.50508,1.2,False,0.598,-0.602
MA-BR-14,Dartmouth 2.5 SSW,41.534589,-71.021972,0.2,True,0.228,0.028
MA-BR-16,Somerset 0.4 SSE,41.7350683361292,-71.1551776528358,0.02,False,0.016,-0.004
MA-BR-3,Norton 1.8 NNE,41.9927,-71.1666,0.01,False,0.035,0.025
MA-BR-30,Taunton 3.9 N,41.95813,-71.082119,0.05,False,0.012,-0.038
MA-BR-52,New Bedford 4.3 N,41.72305,-70.944,0.02,True,0.043,0.023
MA-BR-55,NWS Boston/Norton 2.5 ESE,41.956285,-71.139282,0.04,False,0.0,-0.04
MA-BR-58,Dighton 3.3 NNW,41.858026,-71.1473342,0.0,False,0.043,0.043
MA-BR-61,Mansfield 2.4 ENE,42.03591,-71.17473,0.2,False,0.11,-0.09
MA-BR-63,Swansea 2.1 W,41.74651,-71.22446,0.01,False,0.012,0.002
MA-BR-72,Somerset 2.3 NNE,41.7718201,-71.1473405,0.03,False,0.016,-0.014
MA-BR-79,Fairhaven 1.9 ENE,41.64602,-70.86737,0.18,True,0.169,-0.011
MA-BR-90,Swansea 2.2 WSW,41.7341,-71.2206,0.02,False,0.016,-0.004
MA-BR-99,Swansea 0.9 NNE,41.7613,-71.1755,0.0,False,0.024,0.024
MA-DK-2,Vineyard Haven 0.8 WSW,41.4433,-70.630207,0.32,False,0.138,-0.182
MA-DK-23,West Tisbury 2.6 NNE,41.419557,-70.669831,0.3,False,0.295,-0.005
MA-DK-26,Edgartown 0.6 S,41.417669,-70.579114,0.32,False,0.307,-0.013
MA-DK-27,West Tisbury 0.7 NNE,41.391736,-70.677022,0.34,False,0.398,0.058
MA-NF-79,Foxborough 0.3 S,42.06156,-71.24854,0.4,False,0.051,-0.349
MA-PL-22,East Bridgewater 0.3 WSW,42.03202,-70.954795,0.02,False,0.028,0.008
MA-PL-23,Pembroke 2.8 SW,42.0384187996387,-70.8393743634224,0.02,False,0.028,0.008
MA-PL-5,Kingston 3.3 WNW,42.017022,-70.772022,0.32,False,0.02,-0.3
MA-PL-55,Carver 2.3 E,41.880686,-70.721782,0.04,False,0.059,0.019
MA-PL-63,Wareham 5.6 NE,41.800413009,-70.632944092,0.36,True,0.377,0.017
MA-PL-66,Marion 1.3 N,41.7223161,-70.7591872,0.08,True,0.055,-0.025
MA-PL-79,Plymouth 4.5 SSE,41.89797,-70.64382,0.04,False,0.047,0.007
RI-NW-20,Tiverton 1.0 SSW,41.64079,-71.2065,0.06,False,0.051,-0.009
RI-NW-28,Portsmouth 3.7 NNE,41.650337,-71.222706,0.05,False,0.02,-0.03
RI-NW-44,Middletown 1.9 ESE,41.51458,-71.24814,0.1,False,0.071,-0.029
