stationNumber,stationName,latitude,longitude,n_reports,precip_0913,precip_0914,in_curated_16
MA-BA-10,East Sandwich 2.3 SE,41.72196667,-70.41791667,16,0.0,3.4,False
MA-BA-101,North Falmouth 1.2 SE,41.6328232,-70.614358,5,,,True
MA-BA-102,Sandwich 4.1 SSE,41.6994823788808,-70.4817065765541,6,,,False
MA-BA-105,Falmouth 4.9 NNW,41.6104,-70.6463,14,0.0,3.1,True
MA-BA-106,Centerville 0.4 WNW,41.6589,-70.3572,16,0.0,2.61,False
MA-BA-108,Osterville 1.6 NNW,41.65007,-70.39401,16,0.0,2.42,False
MA-BA-109,N Falmouth 0.7 E,41.643684,-70.608876,15,0.0,,True
MA-BA-11,East Falmouth 1.4 ESE,41.5737809,-70.532064,16,0.0,2.56,False
MA-BA-111,Bourne 0.6 ESE,41.7296,-70.6038,7,0.0,3.3,False
MA-BA-112,North Falmouth 1.0 NE,41.651097,-70.619223,5,0.0,2.85,True
MA-BA-113,Falmouth 3.2 WSW,41.53048,-70.66651,12,0.0,3.0,True
MA-BA-114,Sandwich 0.5 WNW,41.761198,-70.50865,3,,,False
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,13,0.0,,True
MA-BA-117,Falmouth 4.8 N,41.6145087,-70.6233059,15,0.0,2.95,False
MA-BA-122,Falmouth 3.0 NNE,41.584272,-70.581877,16,0.0,3.04,False
MA-BA-13,Falmouth 0.6 NNW,41.5538,-70.6115,16,0.0,3.05,True
MA-BA-17,East Falmouth 1.2 WNW,41.582808,-70.580293,15,0.0,,False
MA-BA-18,Waquoit 0.6 SSW,41.58182,-70.52569,15,0.0,,False
MA-BA-2,Falmouth 3.1 NNW,41.5871,-70.6321,15,0.0,,True
MA-BA-3,Falmouth 3.0 E,41.553061,-70.550358,16,0.0,2.95,False
MA-BA-45,Sandwich 0.9 NNE,41.7701,-70.4941,12,0.0,,False
MA-BA-46,East Falmouth 0.2 ESE,41.57692,-70.55556,4,,3.39,False
MA-BA-47,Mashpee 2.4 WSW,41.635108,-70.524392,3,,,False
MA-BA-50,Falmouth 5.4 NNE,41.622586,-70.582703,15,0.0,,False
MA-BA-57,Falmouth 5.7 N,41.628365,-70.623234,16,0.0,3.86,True
MA-BA-59,Barnstable 3.6 W,41.6943,-70.3696,16,0.0,3.05,False
MA-BA-64,Sandwich 1.5 SSE,41.737899,-70.490535,16,0.0,3.09,False
MA-BA-78,Mashpee 4.6 S,41.58406,-70.48887,16,0.0,2.9,False
MA-BA-79,Mashpee 0.8 SSW,41.6396,-70.49,12,0.0,2.96,False
MA-BA-83,Mashpee 2.5 W,41.6436,-70.531,16,0.0,3.27,False
MA-BA-87,Falmouth 1.5 NNW,41.566667,-70.615556,11,0.0,2.62,True
MA-BA-92,Mashpee 3.2 WSW,41.6314,-70.5402,8,0.0,3.2,False
MA-BA-99,Mashpee 4.7 SSW,41.5834,-70.50508,16,0.0,2.56,False
MA-BR-14,Dartmouth 2.5 SSW,41.534589,-71.021972,15,0.0,2.46,True
MA-BR-16,Somerset 0.4 SSE,41.7350683361292,-71.1551776528358,16,0.0,4.55,False
MA-BR-18,Fairhaven 2.2 ESE,41.6219,-70.8667,11,0.0,3.02,True
MA-BR-3,Norton 1.8 NNE,41.9927,-71.1666,16,0.0,1.63,False
MA-BR-30,Taunton 3.9 N,41.95813,-71.082119,15,0.0,2.08,False
MA-BR-52,New Bedford 4.3 N,41.72305,-70.944,16,0.0,4.2,True
MA-BR-55,NWS Boston/Norton 2.5 ESE,41.956285,-71.139282,16,0.0,2.0,False
MA-BR-58,Dighton 3.3 NNW,41.858026,-71.1473342,15,0.0,,False
MA-BR-61,Mansfield 2.4 ENE,42.03591,-71.17473,15,,1.2,False
MA-BR-62,Westport 6.6 SSE,41.576,-71.062,1,,,False
MA-BR-63,Swansea 2.1 W,41.74651,-71.22446,15,,4.52,False
MA-BR-72,Somerset 2.3 NNE,41.7718201,-71.1473405,15,0.0,,False
MA-BR-79,Fairhaven 1.9 ENE,41.64602,-70.86737,15,0.0,3.34,True
MA-BR-8,Dighton 1.1 WSW,41.811981,-71.136479,15,0.0,,False
MA-BR-85,Mansfield 0.6 ENE,42.027508,-71.208267,16,0.0,1.26,False
MA-BR-90,Swansea 2.2 WSW,41.7341,-71.2206,14,0.0,2.94,False
MA-BR-99,Swansea 0.9 NNE,41.7613,-71.1755,12,,,False
MA-DK-18,Oak Bluffs 0.1 SW,41.448967,-70.567871,16,0.0,2.65,False
MA-DK-2,Vineyard Haven 0.8 WSW,41.4433,-70.630207,16,0.0,2.75,False
MA-DK-22,Edgartown 1.3 WNW,41.3915,-70.5522,10,,3.53,False
MA-DK-23,West Tisbury 2.6 NNE,41.419557,-70.669831,9,,2.72,False
MA-DK-25,West Tisbury 3.6 NE,41.4215,-70.6369,15,0.0,,False
MA-DK-26,Edgartown 0.6 S,41.417669,-70.579114,5,,,False
MA-DK-27,West Tisbury 0.7 NNE,41.391736,-70.677022,16,0.0,2.64,False
MA-DK-9,West Tisbury 0.4 S,41.377984,-70.683257,5,,2.84,False
MA-NF-73,Foxborough 3.1 E,42.06284,-71.18885,15,0.0,1.08,False
MA-NF-79,Foxborough 0.3 S,42.06156,-71.24854,5,1.15,,False
MA-PL-17,Plympton 0.9 NNE,41.963118,-70.811978,10,,,False
MA-PL-2,Sagamore Beach 1.0 NW,41.8096,-70.558075,8,,,False
MA-PL-22,East Bridgewater 0.3 WSW,42.03202,-70.954795,16,0.0,1.31,False
MA-PL-23,Pembroke 2.8 SW,42.0384187996387,-70.8393743634224,15,0.0,,False
MA-PL-5,Kingston 3.3 WNW,42.017022,-70.772022,15,,2.02,False
MA-PL-54,Plymouth 12.5 SSE,41.802137,-70.556311,4,,3.61,False
MA-PL-55,Carver 2.3 E,41.880686,-70.721782,15,0.0,3.96,False
MA-PL-63,Wareham 5.6 NE,41.800413009,-70.632944092,16,0.0,3.49,True
MA-PL-66,Marion 1.3 N,41.7223161,-70.7591872,16,0.0,2.8,True
MA-PL-79,Plymouth 4.5 SSE,41.89797,-70.64382,16,0.0,4.25,False
MA-PL-85,Hanson 0.4 W,42.063717,-70.857288,15,,1.41,False
RI-NW-20,Tiverton 1.0 SSW,41.64079,-71.2065,16,0.0,3.8,False
RI-NW-23,Tiverton 3.6 S,41.60236,-71.20414,11,0.02,,False
RI-NW-28,Portsmouth 3.7 NNE,41.650337,-71.222706,16,0.0,4.33,False
RI-NW-32,Portsmouth 5.2 SSE,41.52761667,-71.22835,15,0.0,,False
RI-NW-44,Middletown 1.9 ESE,41.51458,-71.24814,16,0.0,2.49,False
